Title,Author,Page Count,Year
The Gene,Siddhartha Mukherjee,592,2021
Klara and the Sun,Kazuo Ishiguro,303,2021
Attached,Amir Levine,304,2021
Transcendent Kingdom,Yaa Gyasi,264,2021
Dune,Frank Herbert,658,2021
Leave the World Behind,Rumaan Alam,241,2021
Atonement,Ian McEwan,351,2021
The Refugees,Viet Thanh Nguyen,209,2021
Americanah,Chimamanda Ngozi Adichie,477,2021
The God of Small Things,Arundhati Roy,321,2021
The Two Towers,JRR Tolkien,447,2021
The Fellowship of the Ring,JRR Tolkien,527,2021
The Vanishing Half,Brit Bennett,343,2021
Conversations with Friends,Sally Rooney,304,2021
A Pale View of the Hills,Kazuo Ishiguro,183,2021
Say Nothing,Patrick Radden Keefe,519,2021
Gone Girl,Gillian Flynn,415,2020
"Sing, Unburied, Sing",Jesym Ward,285,2020
The Immortalists,Chloe Benjamin,346,2020
Bad Feminist ,Roxane Gay,320,2020
Norwegian Wood,Haruki Murakami,296,2020
We are Never Meeting in Real Life,Samantha Irby,288,2020
Never Let Me Go,Kazuo Ishiguro,288,2020
White Teeth,Zadie Smith,448,2020
Do Not Say We Have Nothing,Madeleine Thein,474,2020
History of Wolves,Emily Fridlund,288,2020
Lincoln in the Bardo,George Saunders,343,2020
Snow Falling on Cedars,David Guterson,460,2020
Interpreter of Maladies,Jhumpa Lahiri,198,2019
The Boys in the Boat,Daniel James Brown,404,2019
The Brief Wondrous Life of Oscar Wao,Junot Diaz,335,2019
The Friend,Sigrid Nunez,224,2019
Naked,David Sedaris,304,2019
Cutting For Stone,Abraham Verghese,541,2019
Midnight in the Garden of Good and Evil,John Berendt,386,2019
Brave New World,Aldous Huxley,268,2019
A Visit from the Goon Squad,Jennifer Egan,288,2018
Kafka on the Shore,Haruki Murakami,467,2018
All the Light We Cannot See,Anthony Doerr,531,2018
Pachinko,Min Jin Lee,496,2018
The Underground Railroad,Colson Whitehead,306,2018
Me Talk Pretty One Day,David Sedaris,272,2018
We Were Eight Years in Power,Ta-Nehisi Coates,367,2018
Their Eyes Were Watching God,Zora Neale Hurston,238,2017
Sharp Objects,Gillian Flynn,254,2018
The Wind-Up Bird Chronicle,Haruki Murakami,607,2017
1Q84,Haruki Murakami,925,2017
The Handmaid's Tale,Margaret Atwood,314,2017
Little Fires Everywhere,Celeste Ng,338,2017
Beloved,Toni Morrison,324,2017
My Brilliant Friend,Elena Ferrante,331,2017
Everything is Illuminated,Jonathan Safran Foer,276,2017