Date,Monthly Average Maximum
1/15/1998,39.71
2/15/1998,40.97
3/15/1998,48.75
4/15/1998,56.74
5/15/1998,68.75
6/15/1998,72
7/15/1998,82.62
8/15/1998,80.2
9/15/1998,74.44
10/15/1998,61.59
11/15/1998,50.77
12/15/1998,46.3
1/15/1999,37.46
2/15/1999,40.79
3/15/1999,47.23
4/15/1999,57.27
5/15/1999,65.65
6/15/1999,79.87
7/15/1999,84.2
8/15/1999,78.94
9/15/1999,74.24
10/15/1999,61.42
11/15/1999,55.57
12/15/1999,43.94
1/15/2000,35.68
2/15/2000,41.42
3/15/2000,51.07
4/15/2000,54.4
5/15/2000,65.91
6/15/2000,75.44
7/15/2000,77.07
8/15/2000,77.1
9/15/2000,71.64
10/15/2000,61.68
11/15/2000,49.17
12/15/2000,35.88
1/15/2001,36.17
2/15/2001,39.18
3/15/2001,40.62
4/15/2001,56.7
5/15/2001,67.97
6/15/2001,79.74
7/15/2001,77.88
8/15/2001,81.1
9/15/2001,73.34
10/15/2001,65
11/15/2001,56.14
12/15/2001,46.39
1/15/2002,42.42
2/15/2002,44.61
3/15/2002,47.81
4/15/2002,58.64
5/15/2002,66.71
6/15/2002,75
7/15/2002,84.04
8/15/2002,83.17
9/15/2002,76.1
10/15/2002,59.07
11/15/2002,49.14
12/15/2002,39.23
1/15/2003,30.39
2/15/2003,32.68
3/15/2003,46.46
4/15/2003,51.4
5/15/2003,62.26
6/15/2003,72.44
7/15/2003,82.17
8/15/2003,81.88
9/15/2003,72.04
10/15/2003,60.36
11/15/2003,52.57
12/15/2003,42.88
1/15/2004,27.23
2/15/2004,40.21
3/15/2004,45.94
4/15/2004,57.84
5/15/2004,67.3
6/15/2004,74.94
7/15/2004,77.62
8/15/2004,79.75
9/15/2004,72.74
10/15/2004,60.13
11/15/2004,51.57
12/15/2004,42.36
1/15/2005,33.81
2/15/2005,37.4
3/15/2005,41.91
4/15/2005,58.04
5/15/2005,58.13
6/15/2005,77.07
7/15/2005,81.2
8/15/2005,82.26
9/15/2005,75.67
10/15/2005,60.88
11/15/2005,53.74
12/15/2005,38.33
1/15/2006,43.36
2/15/2006,38.15
3/15/2006,46.62
4/15/2006,57.9
5/15/2006,63.97
6/15/2006,75.1
7/15/2006,84.46
8/15/2006,78.84
9/15/2006,71.84
10/15/2006,61.84
11/15/2006,55.8
12/15/2006,47.59
1/15/2007,39.59
2/15/2007,32.97
3/15/2007,46
4/15/2007,51.64
5/15/2007,70.75
6/15/2007,77.04
7/15/2007,81.04
8/15/2007,80.65
9/15/2007,76.1
10/15/2007,66.88
11/15/2007,50.1
12/15/2007,38.59
1/15/2008,40.26
2/15/2008,39.45
3/15/2008,45.39
4/15/2008,56.8
5/15/2008,65.49
6/15/2008,79.07
7/15/2008,82.84
8/15/2008,76.88
9/15/2008,71.54
10/15/2008,61.07
11/15/2008,49.67
12/15/2008,43.52
1/15/2009,31.23
2/15/2009,40.93
3/15/2009,44.3
4/15/2009,59.14
5/15/2009,67.75
6/15/2009,69.2
7/15/2009,77.42
8/15/2009,80.84
9/15/2009,70.44
10/15/2009,59.04
11/15/2009,54.77
12/15/2009,39.68
1/15/2010,35.88
2/15/2010,38.65
3/15/2010,50.17
4/15/2010,61.8
5/15/2010,72
6/15/2010,78.84
7/15/2010,85.78
8/15/2010,81.42
9/15/2010,76.57
10/15/2010,62.97
11/15/2010,51.04
12/15/2010,38.71
1/15/2011,33.59
2/15/2011,38.79
3/15/2011,46.36
4/15/2011,57.8
5/15/2011,65.97
6/15/2011,74.1
7/15/2011,85.75
8/15/2011,80.97
9/15/2011,74.27
10/15/2011,64
11/15/2011,58.54
12/15/2011,47.65
1/15/2012,41.68
2/15/2012,44.9
3/15/2012,55.2
4/15/2012,62.34
5/15/2012,66.55
6/15/2012,73.8
7/15/2012,83.39
8/15/2012,82.1
9/15/2012,71.94
10/15/2012,63.1
11/15/2012,48.1
12/15/2012,44.33
1/15/2013,38.75
2/15/2013,36.9
3/15/2013,43.81
4/15/2013,57.07
5/15/2013,67.26
6/15/2013,78.04
7/15/2013,84.81
8/15/2013,79.81
9/15/2013,73.04
10/15/2013,64.17
11/15/2013,50.67
12/15/2013,40.2
1/15/2014,35.04
2/15/2014,35.61
3/15/2014,41.68
4/15/2014,56.14
5/15/2014,66.39
6/15/2014,76.57
7/15/2014,82.17
8/15/2014,78.36
9/15/2014,74.17
10/15/2014,62.97
11/15/2014,49.5
12/15/2014,43.71
1/15/2015,33.13
2/15/2015,27.83
3/15/2015,40.91
4/15/2015,55.77
5/15/2015,73.2
6/15/2015,72.07
7/15/2015,81.52
8/15/2015,82.71
9/15/2015,77.4
10/15/2015,61.39
11/15/2015,55.84
12/15/2015,51.71
1/15/2016,39.49
2/15/2016,43.73
3/15/2016,50
4/15/2016,54.6
5/15/2016,66.49
6/15/2016,76.84
7/15/2016,84.71
8/15/2016,84.68
9/15/2016,74.37
10/15/2016,62.46
11/15/2016,53.54
12/15/2016,41.94
1/15/2017,40.97
2/15/2017,44.72
3/15/2017,41.39
4/15/2017,59.84
5/15/2017,62.52
6/15/2017,78.37
7/15/2017,80.04
8/15/2017,79.55
9/15/2017,74.4
10/15/2017,68.94
11/15/2017,51.34
12/15/2017,36.55
1/15/2018,35.88
2/15/2018,46.4
3/15/2018,43.07
4/15/2018,52.9
5/15/2018,71.71
6/15/2018,75.74
7/15/2018,83.78
8/15/2018,84.81
9/15/2018,75.2
10/15/2018,61.65
11/15/2018,48.87
12/15/2018,44.04
1/15/2019,38.49
2/15/2019,40.75
3/15/2019,46.68
4/15/2019,59.5
5/15/2019,65.17
6/15/2019,73.7